Company,Title,Cert Link,PDF Description
University of Toronto,"GIS, Mapping, and Spatial Analysis",https://www.coursera.org/account/accomplishments/specialization/51YNYFU58KKU,"4 Courses
Introduction to GIS Mapping
GIS Data Acquisition and
Map Design
Spatial Analysis and Satellite
Imagery in a GIS
GIS, Mapping, and Spatial
Analysis Capstone
Don Boyes 
Professor, Teaching
Stream 
Geography and
Planning, UToronto
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
GIS, Mapping, and Spatial
Analysis
This Specialization is for those new to mapping and GIS, as well as
anyone looking to gain a better understanding of how it all works and
why. You will learn practical skills that can be applied to your own work
using cutting-edge software created by Esri Inc., the world's leading
GIS company and our industry partner.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/51YNYFU58KKU"
Google,Google Advanced Data Analytics,https://www.coursera.org/account/accomplishments/professional-cert/EBT64B1JIUGP,"8 Courses
Foundations of Data Science
Get Started with Python
Go Beyond the Numbers:
Translate Data into Insights
The Power of Statistics
Regression Analysis: Simplify
Complex Data Relationships
The Nuts and Bolts of
Machine Learning
Google Advanced Data
Analytics Capstone
Accelerate Your Job Search
with AI
Amanda Brophy 
Global Director of
Google Career
Certi?cates
Jul 11, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Google Advanced Data
Analytics
Those who earn the Google Advanced Data Analytics Certi?cate have
completed seven courses that include hands-on, practice-based
assessments and are designed to prepare them for advanced roles in
data analytics and entry-level roles in data science. They are
competent in exploring large datasets, applying data analysis
techniques, and building models to extract insights. They are also
competent in machine learning, predictive modeling, and statistics.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/EBT64B1JIUGP"
Google,Google Cybersecurity,https://www.coursera.org/account/accomplishments/professional-cert/J002QNYSAY3O,"9 Courses
Foundations of
Cybersecurity
Play It Safe: Manage
Security Risks
Connect and Protect:
Networks and Network
Security
Tools of the Trade: Linux and
SQL
Assets, Threats, and
Vulnerabilities
Sound the Alarm: Detection
and Response
Automate Cybersecurity
Tasks with Python
Put It to Work: Prepare for
Cybersecurity Jobs
Accelerate Your Job Search
with AI
Amanda Brophy 
Global Director of
Google Career
Certi?cates
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Google Cybersecurity
Those who earn the Google Cybersecurity Certi?cate have completed
eight courses, developed by Google, that include hands-on, practice-
based assessments and are designed to prepare them for entry-level
roles in cybersecurity. They are competent in beginner-level Python,
Linux, SQL, Security Information and Event Management (SIEM) tools,
and Intrusion Detection Systems (IDS). They know how to identify
common cybersecurity risks, threats, and vulnerabilities, as well as the
techniques to mitigate.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/J002QNYSAY3O"
Google,Google Data Analytics,https://www.coursera.org/account/accomplishments/professional-cert/X9G37KAP8PJW,"9 Courses
Foundations: Data, Data,
Everywhere
Ask Questions to Make
Data-Driven Decisions
Prepare Data for
Exploration
Process Data from Dirty to
Clean
Analyze Data to Answer
Questions
Share Data Through the Art
of Visualization
Data Analysis with R
Programming
Google Data Analytics
Capstone: Complete a Case
Study
Accelerate Your Job Search
with AI
Amanda Brophy 
Global Director of
Google Career
Certi?cates
Jul 11, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Google Data Analytics
Those who earn the Google Data Analytics Professional Certi?cate
have completed eight courses, developed by Google, that include
hands-on, practice-based assessments and are designed to prepare
them for introductory-level roles in Data Analytics. They are competent
in tools and platforms including spreadsheets, SQL, Tableau, and R.
They know how to prepare, process, analyze, and share data for
thoughtful action.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/X9G37KAP8PJW"
Google,Google Project Management:,https://www.coursera.org/account/accomplishments/professional-cert/542ZDFXOXP8B,"7 Courses
Foundations of Project
Management
Project Initiation: Starting a
Successful Project
Project Planning: Putting It
All Together
Project Execution: Running
the Project
Agile Project Management
Capstone: Applying Project
Management in the Real
World
Accelerate Your Job Search
with AI
Amanda Brophy 
Global Director of
Google Career
Certi?cates
Jun 8, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Google Project
Management:
Those who earn the Google Project Management Certi?cate have
completed seven courses, developed by Google, that include hands-
on, practice-based assessments and are designed to prepare them for
introductory-level roles in Project Management. They are competent in
initiating, planning and running both traditional and agile projects.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/542ZDFXOXP8B"
IBM,IBM AI Developer,https://www.coursera.org/account/accomplishments/professional-cert/M0RY6LC0QZBI,"10 Courses
Rav Ahuja 
Global Program
Director,  
Skills Network
Introduction to Software
Engineering
Introduction to Arti?cial
Intelligence (AI)
Generative AI: Introduction and
Applications
Generative AI: Prompt Engineering
Basics
Introduction to HTML, CSS, &
JavaScript
Python for Data Science, AI &
Development
Developing AI Applications with
Python and Flask
Building Generative AI-Powered
Applications with Python
Generative AI: Elevate your
Software Development Career
Software Developer Career Guide
and Interview PreparationJul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM AI Developer
In this Professional Certi?cate, learners acquired the core knowledge
and practical skills to build web applications and generative AI-
powered solutions. They acquired a foundational understanding of
the concepts related to programming and the Software Development
Lifecycle (SDLC). They learned about the concepts, techniques, and
applications related to AI, including generative AI and prompt
engineering. The certi?cate holder has demonstrated their ability to
design and develop web applications using HTML, CSS, JavaScript,
Python, and Flask and build chatbots and innovative solutions using
generative AI-powered models, tools and technologies. The certi?cate
holder is prepared for a promising career in AI development and
software engineering, specializing in generative AI.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/M0RY6LC0QZBI"
IBM,IBM Business Analyst,https://www.coursera.org/account/accomplishments/professional-cert/H1CGUNAJGVYA,"7 Courses
Introduction to Business
Analysis
Excel Basics for Data
Analysis
Data Visualization and
Dashboards with Excel and
Cognos
Business Analysis: Process
Modeling & Requirements
Gathering
Business Analysis: Project
and Stakeholder
Management
Business Analysis:
Preparation Exam for ECBA
Certi?cation
Capstone Project: Applying
Business Analysis Skills
Daniel C. Yeomans,
Skill-Up EdTech Team,
Sandip Saha Joy 
Kevin McFaul, Shubhra
Das, Rav Ahuja 
Steve Ryan, Ramanujam
Srinivasan
 
Jul 1, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM Business Analyst
In this Professional Certi?cate, learners have gained essential skills to
perform tasks in an entry-level Business Analyst role. The certi?cate
holder has demonstrated a ?rm knowledge of the business analysis
process and strategic approaches to support decision-making. The
holder can implement process modeling techniques, gather
requirements e?ectively, and engage stakeholders to drive successful
business outcomes. They have developed pro?ciency in systems
analysis, data analysis, and data visualization and can apply essential
tools and techniques to address both basic and advanced challenges.
They also excel in project management by identifying stakeholders,
developing project plans, and executing tasks with strong
communication strategies.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/H1CGUNAJGVYA"
IBM,IBM Data Analyst,https://www.coursera.org/account/accomplishments/professional-cert/GTGZ1QUMB42W,"11 Courses
Rav Ahuja, Program
Director, IBM Skills
Network
Introduction to Data Analytics
Excel Basics for Data Analysis
Data Visualization and Dashboards
with Excel and Cognos
Python for Data Science, AI &
Development
Python Project for Data Science
Databases and SQL for Data Science
with Python
Data Analysis with Python
Data Visualization with Python
IBM Data Analyst Capstone Project
Generative AI: Enhance your Data
Analytics Career
Data Analyst Career Guide and
Interview PreparationApr 20, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM Data Analyst
This IBM Professional Certi?cate is earned after successfully
completing 11 courses on various topics in Data Analytics. The learner
understands the core principles of data analysis and has worked
hands-on with a variety of data sources, project scenarios, and data
analysis tools, including Excel, SQL, Relational Databases, Python,
Jupyter Notebooks, and Cognos Analytics, gaining practical experience
with data manipulation, data analysis, and data visualization. The
earner of this Certi?cate has demonstrated pro?ciency in applying
di?erent analytical techniques by analyzing real-world datasets,
creating visualizations & interactive dashboards, and presenting
reports to share ?ndings of data analysis, and is now equipped with
skills for an entry-level role in data analytics.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/GTGZ1QUMB42W"
IBM,IBM Data Science,https://www.coursera.org/account/accomplishments/professional-cert/9TKZLE1UE4UC,"12 Courses
Rav Ahuja 
AI & Data Science
Program Director 
IBM Skills Network
What is Data Science?
Tools for Data Science
Data Science Methodology
Python for Data Science, AI &
Development
Python Project for Data Science
Databases and SQL for Data Science
with Python
Data Analysis with Python
Data Visualization with Python
Machine Learning with Python
Applied Data Science Capstone
Generative AI: Elevate Your Data
Science Career
Data Scientist Career Guide and
Interview PreparationJun 18, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM Data Science
In this Professional Certi?cate, learners developed and honed hands-
on skills in Data Science and Machine Learning. Learners started with
an orientation of Data Science and its Methodology, became familiar
and used a variety of data science tools, learned Python and SQL,
performed Data Visualization and Analysis, and created Machine
Learning models. In the process they completed several labs and
assignments on the cloud including a Capstone Project at the end to
apply and demonstrate their knowledge and skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/9TKZLE1UE4UC"
AWS,Introducing Generative AI with AWS,www.udacity.com/certificate/e/14a8a5aa-47e1-11f0-bf99-c7fc6083370c,"Master the fundamentals of generative AI and develop a deep understanding of its historical context and real-world applications. Explore AI and machine learning foundations using AWS tools, large language models (LLMs) with transformer-based architectures, and the societal impacts of generative AI to understand AI's evolution and ethical deployment. Engage in exercises on AI history, machine learning approaches, prompt engineering, and responsible AI use to apply your knowledge in practical scenarios. Develop skills in distinguishing AI from ML, exploring LLMs, and emphasizing ethical AI deployment, enabling you to apply these concepts in real-world applications. Designed for learners with basic Python knowledge, this program empowers you to advance your understanding of generative AI.

"
Google,IT Support,https://www.coursera.org/account/accomplishments/professional-cert/5NGK6HNN950K,"6 Courses
Technical Support
Fundamentals
The Bits and Bytes of
Computer Networking
Operating Systems and You:
Becoming a Power User
System Administration and
IT Infrastructure Services
IT Security: Defense against
the digital dark arts
Accelerate Your Job Search
with AI
Amanda Brophy 
Global Director of
Google Career
Certi?cates
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Google IT Support
Whether you’ve been tinkering with IT or are completely new to the
?eld, you’ve come to the right place. This six-course certi?cate,
developed by Googlers, includes industry-relevant curriculum
designed to prepare you for an entry-level role in IT support. Think in-
person or remote help desk work, either in small shops or at a global
company, like Google!
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/5NGK6HNN950K"
Intel,Leader of Learning Experiences,https://www.coursera.org/account/accomplishments/specialization/BFFKK5RIYRG5,"4 Courses
Establishing E?ective
Educator-Machine
Partnerships
Fostering Engagement in the
Age of Digital Distraction
Strengthening Real World
Relevance in the Classroom
Introduction to Learning
Remotely
Jul 11, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Leader of Learning
Experiences
This Specialization is intended for educators seeking to develop their
expertise in the delivery of technology-enabled learning experiences.
Through a series of 4(four) courses, you will learn how to adopt and
adapt innovative pedagogical approaches to learning supported by
digital technologies.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/BFFKK5RIYRG5"
Board Infinity,Mastering DeepSeek.ai: From Fundamentals to Advanced Skills,https://www.coursera.org/account/accomplishments/specialization/BGB10Y96L0D3,"3 Courses
Building Applications with
DeepSeek
Build Intelligent Agents
Using DeepSeek & N8N
Building AI Agents with
DeepSeek using Make.com
Abhay Gupta, Co-
Founder, Board In?nity
Jul 16, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Mastering DeepSeek.ai:
From Fundamentals to
Advanced Skills
This Specialization equips learners with the skills to build, integrate,
and deploy AI-powered applications and intelligent agents using
DeepSeek. Through hands-on projects, learners will explore real-world
use cases, automate work?ows with tools like n8n and Make.com, and
implement advanced techniques such as embeddings, Retrieval-
Augmented Generation (RAG), and task-based AI agents. By the end of
the program, learners will be able to create scalable, production-ready
AI solutions for automation, data processing, and enterprise
applications.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/BGB10Y96L0D3"
Meta,Meta Data Analyst,https://www.coursera.org/account/accomplishments/professional-cert/5F5X45TKS803,"5 Courses
Introduction to Data
Analytics
Data Analysis with
Spreadsheets and SQL
Python Data Analytics
Statistics Foundations
Introduction to Data
Management
Anke Audenaert 
CEO & Co-Founder Aptly 
Adj. Professor, UCLA
Anderson School of
ManagementBrandon Larkin 
Deputy CIO
Victor Geislinger 
Data ScientistDr. Brandi Robinson 
Learning Architect
Jul 2, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Meta Data Analyst
In this specialization, learners developed and honed essential data
analytics skills, including applying the OSEMN framework to data
analysis, using SQL queries to pull data from a database, cleaning data
using spreadsheets, and basic Python applied to data analytics.
Learners also developed a foundational understanding of statistics
and data management principles.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/5F5X45TKS803"
Meta,Meta Marketing Analytics,https://www.coursera.org/account/accomplishments/professional-cert/ZH9OJ5266KFV,"8 Courses
Marketing Analytics
Foundation
Introduction to Data
Analytics
Data Analysis with
Spreadsheets and SQL
Python Data Analytics
Statistics Foundations
Data Analytics Methods for
Marketing
Marketing Analytics with
Meta
Meta Marketing Science
Certi?cation Exam
Anke Audenaert CEO &
Co-Founder Aptly 
Adj. Professor, UCLA
Anderson School of
Management
Jul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Meta Marketing Analytics
In this professional certi?cate, learners developed and honed essential
marketing analytics skills, including basic principles of marketing,
analytics tasks such as using SQL queries to pull data from a database
and cleaning data using spreadsheets. Learners also developed a
foundational understanding of statistics, explored common analytics
methods used by marketers to evaluate and communicate the results
of advertising campaigns and Meta Marketing analytics tools.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/ZH9OJ5266KFV"
Microsoft,Microsoft AI & ML Engineering,https://www.coursera.org/account/accomplishments/professional-cert/E9ZZ1E68NS00,"5 Courses
Foundations of AI and
Machine Learning
AI and Machine Learning
Algorithms and Techniques
Building Intelligent
Troubleshooting Agents
Microsoft Azure for AI and
Machine Learning
Advanced AI and Machine
Learning Techniques and
Capstone
Marni Baker-Stein, 
Chief Content O?cer
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Microsoft AI & ML
Engineering
This comprehensive program is designed to equip students with the
knowledge and skills required to navigate the ever-evolving world of
arti?cial intelligence and machine learning (AI & ML). Comprising ?ve
courses, the program covers a broad spectrum of AI & ML topics,
from foundational infrastructure to advanced applications and real-
world deployment. Each course builds on the previous one, providing
students with both theoretical understanding and hands-on
experience, ensuring they are prepared for the challenges and
opportunities in the AI & ML ?eld.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/E9ZZ1E68NS00"
Microsoft,Microsoft Azure AI Fundamentals AI-900 Exam Prep,https://www.coursera.org/account/accomplishments/specialization/6KTYP94ANPMZ,"5 Courses
Arti?cial Intelligence on
Microsoft Azure
Microsoft Azure Machine
Learning
Computer Vision in
Microsoft Azure
Natural Language
Processing in Microsoft
Azure
Preparing for AI-900:
Microsoft Azure AI
Fundamentals exam
Marni Baker-Stein, 
Chief Content O?cer
Apr 14, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Microsoft Azure AI
Fundamentals AI-900
Exam Prep
In this Specialization, learners developed and honed the essential skills
for creating software that imitates human behaviors and capabilities,
including the types of solutions AI make possible, and the services on
Microsoft Azure that they can use to create them. The Specialization
focused on the core concepts and skills related to implementing
common Machine Learning and Arti?cial Intelligence workloads on
Microsoft Azure.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/6KTYP94ANPMZ"
Microsoft,Microsoft Business Analyst,https://www.coursera.org/account/accomplishments/professional-cert/4FOGG2V85VI1,"6 Courses
Business Analysis
Fundamentals
Data for Business Analysts
Using Microsoft Excel
Data and Business Process
Modeling with Microsoft
Visio
Requirements Gathering in
Business Analysis
Power Platform in Business
Analysis
Project Delivery in Business
Analysis and Capstone
Project
Marni Baker-Stein, 
Chief Content O?cer
Jul 2, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Microsoft Business
Analyst
Now that you have completed the Microsoft Business Analyst
Professional Certi?cate, you stand out with a unique set of skills and
knowledge in the dynamic ?eld of business analysis. This certi?cate
demonstrates your job readiness and can be shared with your
professional network. Throughout this program, you've engaged with
instructional videos, assessments, and practical exercises, gaining a
deep understanding of key aspects of business analysis, including: •
Pro?ciency in identifying, analyzing, and documenting business issues
with diverse requirements-gathering techniques. • Skills in business
process and activity modeling using Microsoft Visio. • Capability in
conducting assessments and validating solutions against
requirements. • E?ective communication, stakeholder management.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/4FOGG2V85VI1"
Microsoft,Microsoft Certified: Azure AI Fundamentals,https://learn.microsoft.com/api/credentials/share/en-us/AlReyVillagracia-2850/36580FB613ED553A?sharingId=32472087E221543A,"Describe Artificial Intelligence workloads and considerations
Describe fundamental principles of machine learning on Azure
Describe features of computer vision workloads on Azure
Describe features of Natural Language Processing (NLP) workloads on Azure
Describe features of generative AI workloads on Azure"
Microsoft,Microsoft Data Visualization,https://www.coursera.org/account/accomplishments/professional-cert/ISMTFLAPD0K2,"5 Courses
Data Visualization
Fundamentals
Data Preparation and
Management
Data Modeling and
Architecture
Visualization for Data
Analysis with Power BI
Building Powerful Reports
and Dashboards in Power BI
Marni Baker-Stein, 
Chief Content O?cer
Jul 2, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Microsoft Data
Visualization
By completing the Data Visualization Professional Certi?cate, you've
gained skills in Microsoft Power BI to harness data for business
decisions, making you a valuable asset to any organization. This
certi?cation prepares you for entry-level roles in data analytics and
business intelligence. Throughout the program, you engaged with the
content, activities, and assessments, mastering fundamental concepts
such as: - Interpreting datasets and e?ectively communicating ?ndings
to stakeholders through Power BI visualizations. - Analyzing data to
derive actionable insights. - Crafting interactive reports and
dashboards. - Utilizing Data Analysis Expressions (DAX) for advanced
data modeling. - Leveraging AI-driven tools and statistical techniques
to uncover hidden insights and trends.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/ISMTFLAPD0K2"
Microsoft,Microsoft Power BI and Power Platform for Productivity,https://www.coursera.org/account/accomplishments/specialization/NWDTA0J2Y90M,"10 Courses
Marni Baker-Stein, 
Chief Content O?cer
Data for Analysis with
Microsoft Excel
Unlock the Power of Data
with Power BI
Data Extract, Transform,
and Load in Power BI
Modeling Data in Power BI
Analysis and Visualization of
Data with Power BI
Creative Designing in Power
BI
Copilot for Power BI
Introduction to Microsoft
Power Platform
Use Power Platform for
Custom & Automated
Solutions
Power Virtual AgentsJun 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Microsoft Power BI and
Power Platform for
Productivity
Congratulations on completing the Microsoft Power BI and Power
Platform for Productivity Specialization! You've gained a powerful skill
set in data analysis and business automation. This certi?cate
demonstrates your job readiness and can be shared with your
professional network. In this program, you've engaged with
instructional videos, assessments, and practical exercises, gaining a
deep understanding of key aspects of Power BI and the Power
Platform, including: • Advanced data analysis using Excel and Power BI
• ETL processes, data modeling, and DAX calculations • Designing
compelling reports and dashboards • Utilizing Copilot to enhance
Power BI productivity • Creating custom apps with Power Apps •
Automating processes with Power Automate • Building chatbots using
Power Virtual
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/NWDTA0J2Y90M"
Microsoft,Microsoft Power BI Data Analyst,https://www.coursera.org/account/accomplishments/professional-cert/UUN0XK4J66M2,"8 Courses
Preparing Data for Analysis
with Microsoft Excel
Harnessing the Power of
Data with Power BI
Extract, Transform and Load
Data in Power BI
Data Modeling in Power BI
Data Analysis and
Visualization with Power BI
Creative Designing in Power
BI
Deploy and Maintain Power
BI Assets and Capstone
project
Microsoft PL-300 Exam
Preparation and Practice
Marni Baker-Stein, 
Chief Content O?cer
Jun 18, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Microsoft Power BI Data
Analyst
The role of a Power BI data analyst includes working closely with
business stakeholders, collecting data, performing analyses, creating
visualizations, & presenting actionable data-driven insights. Learners
engaged with the key concepts of Power BI, transforming data into
meaningful insights and creating compelling reports & dashboards.
They learned to prepare data in Excel for analysis in Power BI, form
data models using the Star schema, perform calculations in DAX, &
more.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/UUN0XK4J66M2"
IBM,Preparation for CompTIA A+ Certification,https://www.coursera.org/account/accomplishments/specialization/YYSBI2TM8ZFP,"3 Courses
Core 1: Hardware and
Network Troubleshooting
Core 2: OS, Software,
Security and Operational
Procedures
Practice Exams for CompTIA
A+ Certi?cation: Core 1 &
Core 2
Rav Ahuja 
Global Program
Director 
IBM Skills NetworkShaun Manzano
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Preparation for CompTIA
A+ Certi?cation
This specialization is your gateway to a thriving IT career and consists
of three courses to equip learners with the skills and knowledge
needed to excel in the IT industry. Designed for learners with basic IT
fundamentals and troubleshooting skills, this specialization prepares
learners for the CompTIA A+ Certi?cation exams, positioning them as a
valuable asset to organizations seeking pro?cient IT professionals.
Upon completion, learners receive an IBM credential and gain a
competitive edge for the CompTIA A+ Certi?cation Exam. Familiarity
with IT fundamentals (ITF+) is recommended before enrollment. If you
lack this background, consider the IBM IT Support Professional
Certi?cate or IBM Information Technology (IT) and Cloud
Fundamentals Specialization to learn these skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/YYSBI2TM8ZFP"
Microsoft,Program Management,https://www.coursera.org/account/accomplishments/professional-cert/6IU4JN8X70U1,"7 Courses
Program Management
Fundamentals
Team Building and
Leadership in Program
Management
Communication with
Stakeholders
Performance Domains in
Project Management
Agile and Hybrid
Approaches
Program Finance and
Investment
High Performing PMOs
Marni Baker-Stein, 
Chief Content O?cer
Jul 16, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Microsoft Program
Management
Now that you have completed the Microsoft Program Manager
Professional Certi?cate, you stand out with a unique set of skills and
knowledge in the dynamic ?eld of program management. This
certi?cate demonstrates your job readiness and can be shared with
your professional network. Throughout this program, you've engaged
with instructional videos, assessments, and practical exercises, gaining
a deep understanding of key aspects of program management,
including: • Coordinating project managers with their teams through
all phases of a successful program. • Using predictive, agile, and hybrid
approaches and tailored methodologies to determine which way of
working is best for each program. • Highlighting the success of a
program and its impact on overall strategic organizational goals.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/6IU4JN8X70U1"
