Company,Title,Cert Link,PDF Description
Packt,CompTIA A+ Certification Core 2 (220-1102),https://www.coursera.org/account/accomplishments/specialization/TQYMAPK9PPK3,"3 Courses
Foundations of Computer
Hardware and Storage
Operating Systems and
Networking Fundamentals
Advanced Networking,
Security, and IT Operations
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
CompTIA A+ Certi?cation
Core 2 (220-1102)
Congratulations on successfully completing the CompTIA A+ Core 2
(220-1102) certi?cation course! This course covered key IT topics,
including operating systems, security, troubleshooting, and essential IT
operations. You explored the structure of the CompTIA A+ exam and
developed crucial skills such as professional communication, customer
handling, and safety procedures. You also gained expertise in
operating systems like Windows, macOS, and Linux, as well as in user
management, ?le systems, and troubleshooting. Additionally, you
learned important security practices and operational procedures to
ensure smooth IT infrastructure management.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/TQYMAPK9PPK3"
CVS Health,CVS Health Call Center Customer Service,https://www.coursera.org/account/accomplishments/professional-cert/3JFI3LPYSG1U,"4 Courses
Introduction to Customer
Service
Interacting with Customers
Call Center Customer
Service
Preparing for Your Call
Center Customer Service
Role
Ricky La 
Customer Service
ExpertDenielle Booth 
Customer Service
Expert
Cory McLaren 
Customer Service
Expert
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
CVS Health Call Center
Customer Service
A career in customer service requires mastery of tangible people and
communication skills. This program balances interpersonal and team
skills with tasks executed in a call center customer service environment
to prepare learners for success on the job. After completing this
program you can demonstrate active listening, greeting customer, root
cause analysis, de-escalation and prioritize tasks using time
management skills. The program also optimizes a candidate for a
position by allowing you to practice interview questions based on the
material in each module, make observations in the community that can
be drawn on in interviews, create a resume, and prepare an
appropriate social media presence for a job search.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/3JFI3LPYSG1U"
IBM,Data Management,https://www.coursera.org/account/accomplishments/professional-cert/WBCOP5MNVXNP,"12 Courses
Rav Ahuja, Program
Director, IBM Skills
Network
 
Introduction to Data Engineering
Excel Basics for Data Analysis
Statistical Analysis Fundamentals
using Excel
Data Visualization and Dashboards
with Excel and Cognos
Introduction to Relational
Databases (RDBMS)
SQL: A Practical Introduction for
Querying Databases
Data Warehouse Fundamentals
Getting Started with Tableau
Data Integration, Data Storage, &
Data Migration
Data Privacy, Security,
Governance, Risk and Compliance
Data Management Capstone
Project
Practice Test for CompTIA Data+
Certi?cationJul 13, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM Data Management
This Data Manager Professional Certi?cate equips you with the
essential skills and hands-on experience employers are looking for in
data-related roles. As a result of this program, you will become
competent with industry-standard tools such as Excel and Tableau to
analyze and visualize data by building charts and dashboards. You will
understand the distinctions among data repositories including
relational and NoSQL databases, data warehouses, data marts, data
lakes, and data lakehouses. You will explore the data ecosystem, such
as architectures, pipelines, and management processes. You will also
understand the signi?cance of high-quality security, governance, and
compliance with respect to the data lifecycle and related concepts
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/WBCOP5MNVXNP"
University of Colorado Boulder,Data Visualization & Analytics in Tableau,https://www.coursera.org/account/accomplishments/specialization/X88PSUFOE26P,"3 Courses
Fundamentals of
Visualization & Design with
Tableau
Essential Dashboarding &
Storytelling Techniques
Advanced Visualizations
using Tableau
Kenneth Miller, M.S. 
Adjunct Faculty | Senior
Data Analyst 
Marketing, Data &
Analytics
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Data Visualization &
Analytics in Tableau
Learners gained the skills necessary to become an expert data
visualizer - creating both basic and complex charts in Tableau,
understanding the underlying data structure of unknown data sets,
and implementing advanced tools capable of forecasting, clustering
and showing trends. Learners completed a capstone project at the
end of the Specialization to apply their new knowledge and skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/X88PSUFOE26P"
University of Colorado Boulder,Databases for Data Scientists,https://www.coursera.org/account/accomplishments/specialization/Z5IQ1WR5PDMU,"3 Courses
Relational Database Design
The Structured Query
Language (SQL)
Advanced Topics and Future
Trends in Database
Technologies
Di Wu 
Instructor 
Data ScienceAlan Paradise 
Teaching Professor 
Computer Science
Jul 4, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Databases for Data
Scientists
In this specialization learners developed essential skills about relational
databases, including relational database design, database software
fundamentals, and how to use the Structured Query Language (SQL)
to work with databases. The specialization also introduced advanced
topics in the ?eld, such as database administration, data warehouse,
big data, and NoSQL. Learners completed multiple projects to apply
their new knowledge and skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/Z5IQ1WR5PDMU"
Vanderbilt University,Generative AI Assistants,https://www.coursera.org/account/accomplishments/specialization/NYX3D9YA3D3O,"3 Courses
Prompt Engineering for
ChatGPT
OpenAI GPTs: Creating Your
Own Custom AI Assistants
Trustworthy Generative AI
Dr. Jules White
Professor 
Department of
Computer Science 
Vanderbilt University
Jul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Generative AI Assistants
Step into the frontier of digital assistance with the ""Generative AI
Assistants"" specialization, your guide to crafting bespoke AI partners
for any sector or specialized need. This course unveils the complexities
of tailoring GPT-style language models that intuitively align with your
world—be it legal, logistical, or scienti?c. You'll learn how to train your
custom AI to parse through documents, engage in natural dialogue,
and even mimic designated communicative tones—all while rigorously
testing to assure precision and reliability.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/NYX3D9YA3D3O"
IBM,Generative AI for Data Scientists,https://www.coursera.org/account/accomplishments/specialization/J6IOEP6U0AQC,"3 Courses
Generative AI: Introduction
and Applications
Generative AI: Prompt
Engineering Basics
Generative AI: Elevate Your
Data Science Career
Rav Ahuja 
Global Program
Director,  
Skills NetworkAntonio Cangiano 
Engineering Manager
and AI Specialist 
IBM Digital Business
Group
Abhishek Gagneja 
Python and AI Subject
Matter ExpertDr. Pooja 
Instructor and Subject
Matter Expert 
Skill-Up Technologies
Jun 13, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Generative AI for Data
Scientists
By completing this specialization, the learner has demonstrated the
ability to di?erentiate generative AI from discriminative AI, describe
real-world generative uses, and identify and use popular generative AI
models and tools for text, code, image, audio, and video generation.
The learner can explain generative AI prompt engineering concepts,
provide examples, and apply prompt engineering techniques that
create demonstrably useful outcomes. The learner can identify useful,
appropriate generative AI tools for data science and apply generative
AI prompt techniques to tasks throughout the data methodology
process including data set generation data set augmentation, and
machine learning model development and re?nement, visualizations,
and insights.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/J6IOEP6U0AQC"
Scrimba,Generative AI for Web Development,https://www.coursera.org/account/accomplishments/specialization/V0VVKRVJEOWO,"3 Courses
Prompt Engineering for Web
Developers
Intro to Claude AI
Vibe Coding with Cursor AI
CEO at Scrimba
Jul 9, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Generative AI for Web
Development
In this specialization, learners have developed practical skills for using
generative AI throughout the web development process. They have
learned how to prompt large language models e?ectively, generate
and debug code with AI support, and design interactive applications
that integrate intelligent features using tools like Claude AI and Cursor.
Through hands-on projects, learners have demonstrated their ability
to code more e?ciently and build AI-powered web experiences that
re?ect modern development work?ows.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/V0VVKRVJEOWO"
"University of California, Davis",Geographic Information Systems (GIS),https://www.coursera.org/account/accomplishments/specialization/QZ9KY8YZAZZE,"4 Courses
Fundamentals of GIS
GIS Data Formats, Design
and Quality
Geospatial Analysis with
ArcGIS
GIS Applications Across
Industries
Nicholas Santos,
Geospatial Applications
Researcher, UC Davis
Center for Watershed
Sciences 
Je? Loux, Chair,
Department of Science,
Agriculture and Natural
Resources & Associate
Adjunct Professor
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Geographic Information
Systems (GIS)
In this specialization, learners gained the skills to act as professional
GIS analysts and communicate with peers. The specialization covered
the technical aspects of GIS including: gathering and sharing
geographic data, managing spatial data, projections, data quality
concerns, geoprocessing and spatial analysis, ModelBuilder, data
creation, data formats, and imagery. Learners also gained cartography
skills to present their ?ndings through professional-quality maps.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/QZ9KY8YZAZZE"
L&T EduTech,Geospatial Techniques for Engineers,https://www.coursera.org/account/accomplishments/specialization/WRZ9KOTMCGAD,"3 Courses
Geospatial Technology for
Construction
Geospatial Information
Technology Essentials
Mastering Geospatial
Analysis with QGIS
Subject Matter Expert 
L&T Edutech
Jul 5, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Geospatial Techniques for
Engineers
The Geospatial Technologies for Engineers specialization equips
learners with geospatial tools for engineering, leveraging L&T’s
expertise. Participants explore surveying, GNSS navigation, and LiDAR,
gaining hands-on experience in site management and project
oversight. The course covers GIS fundamentals, data management,
and spatial analysis, integrating web and mobile GIS for real-time
monitoring. The advanced module focuses on QGIS for spatial
analyses, 3D mapping, and satellite data. Combining theory and
practice, learners gain expertise in geospatial technologies, applying
skills from conceptualization to project execution. By course end,
participants enhance project management, decision-making, and
operational e?ciency using geospatial tools.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/WRZ9KOTMCGAD"
